Sex,Race,mean,var,size
Men,American Indian,2.2771084337349397,0.3003232441962974,83
Men,Asian,2.2771084337349397,0.27593300029385837,83
Men,Black,2.289156626506024,0.2812224507787247,83
Men,Hispanic,2.289156626506024,0.2812224507787247,83
Men,Native Hawaiian and Other Pacific Islander,2.253012048192771,0.28886276814575373,83
Men,White,2.3132530120481927,0.3153100205700852,83
Women,American Indian,2.2771084337349397,0.2759330002938583,83
Women,Asian,2.3132530120481927,0.2909197766676462,83
Women,Black,2.289156626506024,0.30561269468116375,83
Women,Hispanic,2.3012048192771086,0.2862180429033207,83
Women,Native Hawaiian and Other Pacific Islander,2.3012048192771086,0.3106082868057597,83
Women,White,2.325301204819277,0.2709374081692622,83
