Sex,Race,mean,var,size
Men,American Indian,1.934782608695652,1.116579073100812,92
Men,Asian,2.510869565217391,1.417462971810798,92
Men,Black,2.0652173913043477,1.0726230291447683,92
Men,Hispanic,2.2282608695652173,1.0791925465838514,92
Men,Native Hawaiian and Other Pacific Islander,2.0434782608695654,1.1409460105112281,92
Men,White,2.9456521739130435,1.1508600095556616,92
Women,American Indian,2.0652173913043477,0.9847109412326804,92
Women,Asian,2.4239130434782608,1.3897515527950315,92
Women,Black,2.1847826086956523,1.1413043478260871,92
Women,Hispanic,2.141304347826087,1.2435499283325364,92
Women,Native Hawaiian and Other Pacific Islander,2.1739130434782608,1.2661251791686583,92
Women,White,2.967391304347826,0.8890348781653131,92
